frame,droplet_count,ligament_count,main_ligament_count,uncertain_count,main_region_area,total_detected_area,avg_droplet_diameter,avg_ligament_aspect_ratio,avg_ligament_length
164,74,12,1,8,16135.0,23314.5,5.5607996301045715,1.9525167581416734,14.0
165,68,15,0,10,0,9242.0,5.642585222654371,2.0692301459174445,12.333333333333334
166,61,13,1,9,21231.0,25731.0,5.643240967066654,2.149928594693031,11.76923076923077
167,67,13,1,6,21655.5,26281.5,6.013284571633286,2.200587268819275,12.384615384615385
168,69,12,1,6,18150.0,24815.5,5.811050092506589,2.175198518266752,12.0
169,71,12,1,4,18948.0,25453.5,5.819973512720813,2.164208904296439,13.416666666666666
170,68,11,1,5,17631.5,24837.0,5.77815309146346,2.180492548261079,17.636363636363637
171,67,11,1,5,18012.5,25032.0,5.781322307898321,2.3515004383593667,19.272727272727273
172,60,13,1,8,18399.5,25474.5,5.888873329537189,2.3542095851622316,12.846153846153847
173,62,13,1,10,19127.0,26402.5,5.890994669207765,2.600795216946283,12.538461538461538
174,65,10,1,9,19509.0,26968.5,5.877006021225219,2.8433710485893746,17.8
175,69,9,1,7,19846.5,27022.5,5.885937360054884,1.9871282367171088,9.88888888888889
176,68,8,1,10,18006.0,25161.0,5.49074497291177,2.2547971242474287,10.0
177,72,8,0,9,0,7097.5,5.558267683737787,1.8442694437586244,7.5
178,77,11,1,7,20234.5,26652.0,5.4516128735739215,1.9181886617366988,9.636363636363637
179,73,9,1,9,18789.0,25215.0,5.314800250134756,2.0977995150953146,15.444444444444445
180,74,12,1,9,19542.5,26261.5,5.684962774305183,1.988430944290843,16.75
181,71,13,1,11,18546.5,25019.5,5.42436569234367,1.9067806838784964,15.538461538461538
182,75,10,1,10,17779.0,24229.0,5.65473740483008,2.0466062670822427,11.3
183,72,14,2,9,17292.0,24886.0,5.817870964036058,2.216487474444794,36.785714285714285
184,78,16,1,8,16431.0,24182.5,5.545727169660171,2.4057787618495605,39.0625
185,72,13,1,8,12088.5,23926.0,5.508258114793603,2.331710934669262,55.23076923076923
186,73,14,1,7,11303.5,22841.0,5.378956661423529,2.428602639129861,47.857142857142854
187,75,12,0,7,0,6710.5,5.883866154209916,2.358782974150268,30.083333333333332
188,76,11,1,7,16281.5,23397.0,5.929880692656105,2.1842846447665365,33.54545454545455
189,77,15,1,7,16218.5,23288.0,6.005680658840972,2.134831843828549,25.6
190,78,17,2,6,14249.5,24699.5,6.269776871715892,2.1879480478059588,23.823529411764707
191,78,21,1,7,14857.5,25520.0,6.281099195027766,2.1439104318427984,36.57142857142857
192,78,22,1,4,14779.5,24864.0,6.014732165150675,2.2545414956663805,35.81818181818182
193,80,16,1,6,15925.0,25524.0,6.208934632319915,2.413871783398019,39.4375
194,78,18,1,8,15721.5,25246.0,6.288880293638243,2.083461461786735,30.666666666666668
195,81,17,2,5,15853.0,25891.0,5.980088171547716,2.0787808453850114,44.529411764705884
196,72,21,2,4,16128.0,26220.0,6.150868149627768,2.3845254083222907,42.23809523809524
197,75,21,2,3,17024.0,26208.0,5.958829850201479,2.2363978009092325,36.285714285714285
198,72,17,2,7,16605.5,26129.0,5.913793352418766,1.9102710319336145,36.64705882352941
199,67,15,2,11,17120.5,26522.5,6.100838475074522,2.1374016083482235,40.733333333333334
200,70,12,2,8,17288.5,26344.0,6.221049800628091,2.020123251353877,43.833333333333336
201,74,14,2,10,14240.5,23332.0,5.890920766326749,2.043120045441801,33.785714285714285
202,68,14,2,14,17651.5,26617.0,6.079743734272787,2.279661987607409,37.142857142857146
203,68,12,2,14,18236.5,27106.5,5.940490536108737,2.457700472928349,47.666666666666664
204,65,17,2,10,18922.0,27412.5,6.138518369392766,2.3211942824350684,37.470588235294116
205,66,16,2,8,19264.0,27658.0,5.767266671191383,2.1047195804293755,42.125
206,64,15,0,9,0,8355.0,5.904106074896485,2.245872893239246,21.266666666666666
207,61,18,1,7,19544.0,27172.5,5.934701009934519,2.008773950300203,11.5
208,66,15,2,8,19574.5,26640.5,5.8044435417285944,2.1589183203712734,20.2
209,73,14,2,6,19764.5,27163.5,6.350544280661542,2.1782110504394256,23.928571428571427
210,75,14,1,10,19376.0,26506.0,5.955425647223819,2.3274358515180236,23.857142857142858
211,76,15,2,10,20445.5,26902.0,5.809666507496883,2.1196338557030887,14.133333333333333
212,73,15,1,12,16072.0,27423.0,5.921915186667181,2.0862509333745156,14.0
213,74,14,1,11,20897.0,27482.5,5.809122242240706,2.132250797543648,22.857142857142858
214,80,11,1,12,16672.0,27674.5,5.6460733017230735,2.14962963433236,24.0
215,85,9,1,11,16917.5,27808.0,5.6429475956078115,2.240849740851761,27.0
216,77,11,1,10,16409.0,26965.0,5.766072022131826,2.454052773100267,38.45454545454545
217,72,17,1,7,17362.0,27992.0,5.82805515422755,2.2802814829063403,49.588235294117645
218,73,18,1,5,17747.5,28102.5,5.914762785213645,2.214987087456205,46.333333333333336
219,71,14,1,9,18021.0,28431.5,5.889050516391139,2.3359568243268707,59.42857142857143
220,75,12,1,7,18937.5,28126.0,5.618972393676054,2.260927963525164,52.166666666666664
221,76,8,1,9,22259.5,28031.5,5.542250199135518,2.433661012005074,31.125
222,72,14,1,4,18730.0,28167.0,5.761850358487292,2.6899124232627467,51.07142857142857
223,76,12,1,4,20657.5,29638.5,5.523858275933858,2.2836511695751947,50.5
224,73,14,0,6,0,9073.5,5.463470835230075,2.3022069246495356,42.142857142857146
225,75,13,2,8,13287.0,21800.0,5.392671152306436,2.0689159359788425,42.76923076923077
226,80,12,2,7,13570.5,21174.0,5.393872931909207,2.0390019840254627,38.0
227,77,13,2,8,12850.5,20640.0,5.770357007695406,1.862818403444314,34.46153846153846
228,82,12,1,10,7947.5,20616.5,5.663229484057218,2.0935623742820564,23.416666666666668
229,79,12,1,11,8420.5,21216.5,5.59298407997746,2.4492365481907874,21.416666666666668
230,73,16,1,12,8557.5,21690.5,5.918718617887998,2.3602581897301342,19.625
231,71,17,2,10,14954.0,22854.5,5.907207810994255,2.154964827084833,17.176470588235293
232,69,17,2,7,14467.5,22353.5,6.07623675685131,2.1970100676246838,23.941176470588236
233,69,17,2,6,13877.0,21205.0,5.975299838336542,2.114534241995656,21.235294117647058
234,63,17,2,8,14380.5,21271.0,6.086988553541117,2.264029393586965,18.294117647058822
235,64,14,2,7,14976.0,21651.0,5.966103189689094,2.0227749392080043,20.857142857142858
236,68,15,2,7,12840.0,19605.0,5.781947149473204,2.3982499794544387,23.133333333333333
237,70,21,2,6,13802.5,20687.0,5.47911849283424,2.2603072012705625,21.80952380952381
238,76,20,2,5,14122.0,21220.5,5.679529554540103,2.295108685380385,18.65
239,75,19,2,6,14961.5,21871.5,5.673881968556739,2.203226615975528,17.42105263157895
240,72,19,2,7,14308.5,21408.0,5.779210511482012,2.1832208944666553,19.94736842105263
241,76,17,2,7,16715.5,23095.5,5.821423787736685,2.280429805542378,16.705882352941178
242,73,19,2,8,17085.5,23449.5,5.560370846672453,2.3025016229780837,16.789473684210527
243,67,19,2,11,16953.0,22964.5,5.851602799778641,2.1807728113726634,13.210526315789474
244,71,18,2,11,16443.5,22462.5,5.761285401234705,2.1397989243872964,12.444444444444445
245,79,18,2,4,16832.5,22882.0,5.612392943316573,2.0598252512160102,13.222222222222221
246,80,16,2,5,17416.5,23576.5,5.6499593520576585,2.1365413600636707,15.25
247,81,15,2,7,17866.5,23611.5,5.6165599290031984,2.065817908132248,12.733333333333333
248,80,20,2,9,17981.5,24064.5,5.480744251198925,2.111035682345599,10.95
249,75,17,2,10,18299.0,24155.0,5.691798197346832,2.376980859380105,15.294117647058824
250,77,15,2,9,18244.5,24136.5,5.6045113139564435,2.3804245003312046,24.333333333333332
251,74,16,2,6,17365.5,23082.0,5.712681994105648,2.2313728726879885,14.0
252,76,15,2,10,17568.5,24140.5,5.73886205724182,2.713949336155645,15.733333333333333
253,72,17,2,8,19187.5,25668.0,5.804155169921521,2.2732299449676368,10.529411764705882
254,76,14,2,8,17654.5,24021.5,5.706186787382078,2.341775407314104,21.071428571428573
255,71,14,2,9,15888.0,21534.5,5.549583968282145,2.1063572115393594,13.857142857142858
256,71,14,2,8,15761.5,21431.5,5.48329058330642,2.260895212487481,19.5
257,73,12,2,9,17280.5,23155.5,5.7211366613877,1.7277966117199077,24.5
258,69,10,2,11,17089.5,22989.0,5.676431868313236,2.1542555771714227,10.6
